VIN,Dealer,Make,MarketValue,Mileage,Model,Price,Year,modelYearId
3N1CN7AP1CL918837,Allan Turner,Nissan,5185.0,121987.0,Versa,4864.0,2012,6133
3N1BC13E19L395113,Allan Turner,Nissan,,101396.0,Versa,5537.0,2009,5273
JM1BK12F771707577,Allan Turner,Mazda,2600.0,154695.0,Mazda3,5995.0,2007,0
JM1BL1U82D1709373,Allan Turner,Mazda,2600.0,127122.0,Mazda3,6869.0,2013,0
4T1BE46K49U384196,Allan Turner,Toyota,,147160.0,Camry,6893.0,2009,5161
1GYEE637760192622,Allan Turner,Cadillac,,72387.0,SRX,7167.0,2006,4461
3VWBP7AJ2CM075964,Allan Turner,Volkswagen,7515.0,114590.0,Jetta,7422.0,2012,6105
JTDKN3DU6A0207969,Allan Turner,Toyota,7400.0,129704.0,Prius,7546.0,2010,5476
JHLRE38547C000668,Allan Turner,Honda,7195.833333333332,121953.0,CR-V,7774.0,2007,4749
JTLZE4FE3B1141293,Allan Turner,Scion,,105999.0,xB,8106.0,2011,5792
5NPEC4ACXCH423818,Allan Turner,Hyundai,7829.166666666668,122795.0,Sonata,8411.0,2012,6215
JHMGE8H51DC032019,Allan Turner,Honda,9375.0,79212.0,Fit,8998.0,2013,6485
KMHDH4AE2CU448289,Allan Turner,Hyundai,,74120.0,Elantra,9348.0,2012,6131
3C4PDCAB9DT728221,Allan Turner,Dodge,8878.57142857143,107100.0,Journey,9442.0,2013,6516
5NPE24AF5GH360890,Allan Turner,Hyundai,15242.5,123924.0,Sonata,10375.0,2016,7516
5XXGN4A76EG294867,Allan Turner,Kia,11246.428571428567,94425.0,Optima,10586.0,2014,6917
1C3CCCAB3GN125095,Allan Turner,Chrysler,13587.5,105466.0,200,10747.0,2016,7450
1N4AL3AP9DN545962,Allan Turner,Nissan,8240.625,91241.0,Altima,10835.0,2013,6412
5NPE24AF5FH061589,Allan Turner,Hyundai,12853.125,107551.0,Sonata,11154.0,2015,7019
1C3CCCBB7FN735594,Allan Turner,Chrysler,11725.0,71363.0,200,11910.0,2015,6965
2T2BK1BA7AC046863,Allan Turner,Lexus,12543.75,123233.0,RX,11974.0,2010,5453
2FMDK3GC5DBB42163,Allan Turner,Ford,11840.625,71636.0,Edge,11992.0,2013,6372
KM8JU3AC5DU547505,Allan Turner,Hyundai,,54424.0,Tucson,12076.0,2013,6563
KNDJP3A58G7295264,Allan Turner,Kia,11800.0,62190.0,Soul,12295.0,2016,7441
2GNALBEK9E6235228,Allan Turner,Chevrolet,10687.5,85108.0,Equinox,12309.0,2014,6778
KMHDH4AE7GU649191,Allan Turner,Hyundai,,49765.0,Elantra,12458.0,2016,7294
5NPE34AF4FH084147,Allan Turner,Hyundai,12853.125,73443.0,Sonata,12641.0,2015,7019
2FMDK3KC1CBA62915,Allan Turner,Ford,,85795.0,Edge,12651.0,2012,6204
3VWD67AJXGM356637,Allan Turner,Volkswagen,13531.25,49878.0,Jetta,12768.0,2016,7424
JN8AZ2ND6B9701078,Allan Turner,Infiniti,2600.0,173635.0,QX56,12913.0,2011,0
KL8CD6SA5LC406314,Allan Turner,Chevrolet,2600.0,1378.0,Spark,12999.0,2020,0
3N1AB7AP7HY222168,Allan Turner,Nissan,13629.166666666664,53040.0,Sentra,13160.0,2017,7898
3FADP4EJ4JM140322,Allan Turner,Ford,13267.857142857143,25135.0,Fiesta,13226.0,2018,8694
KNDJP3A51J7513178,Allan Turner,Kia,14592.857142857143,61482.0,Soul,13308.0,2018,8656
3GNCJKSBXHL246757,Allan Turner,Chevrolet,14645.833333333336,44192.0,Trax,13620.0,2017,7627
2C4RC1BG1FR630011,Allan Turner,Chrysler,,75360.0,Town & Country,13849.0,2015,7211
2GNALDEK1D6422327,Allan Turner,Chevrolet,9100.0,38883.0,Equinox,13884.0,2013,6423
