VIN,Dealer,Make,Mileage,Model,Price,Year,modelYearId,MarketValue
JTDKN3DU9A1275760,Allan Turner,Toyota,158037.0,Prius,5659,2010,5476,7400.0
3N1CN7AP1CL918837,Allan Turner,Nissan,121987.0,Versa,5899,2012,6133,5185.0
2FMDK38C67BB61324,Allan Turner,Ford,130869.0,Edge,6396,2007,4541,5720.833333333332
5NMSG13D08H227080,Allan Turner,Hyundai,121552.0,Santa Fe,6519,2008,4930,5620.833333333332
3VWBP7AJ2CM075964,Allan Turner,Volkswagen,114590.0,Jetta,7422,2012,6105,7515.0
2T3ZF4DV9BW057685,Allan Turner,Toyota,120532.0,RAV4,7504,2011,6021,10929.166666666666
JHLRE38547C000668,Allan Turner,Honda,121953.0,CR-V,7833,2007,4749,7195.833333333332
WDDGF5EB9AF489491,Allan Turner,Mercedes-benz,120585.0,C-Class,7994,2010,5670,10379.166666666666
KMHGC4DE7BU133977,Allan Turner,Hyundai,145613.0,Genesis,8123,2011,5962,8750.0
5NPEC4ACXCH423818,Allan Turner,Hyundai,122795.0,Sonata,8411,2012,6215,7829.166666666668
1G1PC5SB8E7298239,Allan Turner,Chevrolet,90092.0,Cruze,8785,2014,6676,8000.0
5NPEC4AC9CH357018,Allan Turner,Hyundai,124535.0,Sonata,8809,2012,6215,7829.166666666668
5NPEB4AC9CH467828,Allan Turner,Hyundai,87313.0,Sonata,8979,2012,6215,7829.166666666668
3C4PDCAB9DT728221,Allan Turner,Dodge,107100.0,Journey,9442,2013,6516,8878.57142857143
JHMGE8H51DC032019,Allan Turner,Honda,79212.0,Fit,9567,2013,6485,9375.0
1N4AL3AP7EN361038,Allan Turner,Nissan,124984.0,Altima,9782,2014,6876,9600.0
1HGCP2F66CA216788,Allan Turner,Honda,126910.0,Accord,10284,2012,6252,9856.666666666666
5NPE24AF5GH360890,Allan Turner,Hyundai,123924.0,Sonata,10375,2016,7516,15242.5
1N4AL3AP9DN545962,Allan Turner,Nissan,91241.0,Altima,10561,2013,6412,8240.625
5XXGN4A76EG294867,Allan Turner,Kia,94425.0,Optima,10648,2014,6917,11246.428571428567
1C3CCCAB3GN125095,Allan Turner,Chrysler,105466.0,200,10747,2016,7450,13587.5
KMHGC4DDXDU254089,Allan Turner,Hyundai,98912.0,Genesis,11145,2013,6506,12062.5
1HGCP3F84BA010455,Allan Turner,Honda,106014.0,Accord,11450,2011,5910,8634.09090909091
5XYZT3LB3DG110344,Allan Turner,Hyundai,105447.0,Santa Fe,11661,2013,6451,11243.75
1C3BCBGGXEN136214,Allan Turner,Chrysler,62262.0,200,11700,2014,6838,8840.625
2FMDK3GC5DBB42163,Allan Turner,Ford,71636.0,Edge,11749,2013,6372,11840.625
1N4AL3AP8FN340152,Allan Turner,Nissan,85020.0,Altima,11856,2015,7106,11121.875
2C4RDGEG5HR696835,Allan Turner,Dodge,101190.0,Grand Caravan,11887,2017,7779,14875.0
5XYKT3A60FG661423,Allan Turner,Kia,82914.0,Sorento,11949,2015,7015,14870.0
WDDGF4HBXCR240740,Allan Turner,Mercedes-benz,80492.0,C-Class,11990,2012,6194,13652.5
1C3CCCBB7FN735594,Allan Turner,Chrysler,71363.0,200,12165,2015,6965,11725.0
KMHD74LF0HU141591,Allan Turner,Hyundai,75188.0,Elantra,12291,2017,7556,13708.333333333336
1FTSW20PX5EA61141,Allan Turner,Ford,147491.0,F-250SD,12494,2005,0,2600.0
2T2BK1BA7AC046863,Allan Turner,Lexus,123233.0,RX,12499,2010,5453,12543.75
1GTEC29089Z275183,Allan Turner,Gmc,179057.0,Sierra 1500,12545,2009,5253,10936.458333333334
KNDJP3A58G7295264,Allan Turner,Kia,62190.0,Soul,12595,2016,7441,11800.0
5NPE34AF4FH084147,Allan Turner,Hyundai,73443.0,Sonata,12641,2015,7019,12853.125
1FADP3F23JL226966,Allan Turner,Ford,32306.0,Focus,12666,2018,8695,16332.5
1G6AJ5SX6D0125571,Allan Turner,Cadillac,94819.0,ATS,12753,2013,6380,12285.0
