,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN,modelYearId,MarketValue
0,Allan Turner,Chrysler,Town & Country,2003,138642.0,2595,2C4GP44383R353876,637,
1,Allan Turner,Chrysler,Sebring,2006,172466.0,3713,1C3EL55R26N259073,4435,
2,Allan Turner,Toyota,Corolla,2005,285860.0,3976,1NXBR32E25Z342974,4128,
3,Allan Turner,Cadillac,Escalade,2003,267936.0,3994,1GYEC63T03R281099,3162,
4,Allan Turner,Ford,Focus,2008,162303.0,4487,1FAHP35N68W218284,4853,
5,Allan Turner,Lincoln,Town Car,1995,106592.0,4995,1LNLM81W9SY606125,0,2600.0
6,Allan Turner,Nissan,Altima,2011,185842.0,4995,1N4AL2AP3BN483918,6004,
7,Allan Turner,Honda,Accord,2009,238587.0,4998,1HGCP26809A092253,5411,
8,Allan Turner,Nissan,Altima,2012,143472.0,4999,1N4AL2AP8CN478084,6138,7458.333333333333
9,Allan Turner,Ford,Mustang,2005,249873.0,5705,1ZVFT80N055125325,3989,
10,Allan Turner,Dodge,Nitro,2008,181658.0,6142,1D8GU58K48W237851,4947,
11,Allan Turner,Dodge,Grand Caravan,2010,118006.0,6995,2D4RN3D10AR455342,5579,
12,Allan Turner,Nissan,Rogue,2012,178327.0,7334,JN8AS5MT7CW263933,6174,
13,Allan Turner,Dodge,Ram 1500,2007,212602.0,7557,1D7HA18K37J594654,4726,8477.5
14,Allan Turner,Hyundai,Elantra,2012,139291.0,8171,KMHDH4AE0CU185848,6131,
15,Allan Turner,Kia,Optima,2011,139211.0,8254,KNAGM4A70B5087097,5805,7310.0
16,Allan Turner,Nissan,Maxima,2011,169535.0,8269,1N4AA5AP6BC809052,6001,
17,Allan Turner,Dodge,Dart,2016,143156.0,8671,1C3CDFBAXGD652545,7455,10471.42857142857
18,Allan Turner,Ford,F-150,2006,239963.0,8673,1FTPW12VX6KD77279,4414,
19,Allan Turner,Nissan,Rogue,2010,89403.0,8764,JN8AS5MT5AW503154,5704,
20,Allan Turner,Harley-Davidson,,2007,20895.0,8959,1HD1FMM157Y618759,0,2600.0
21,Allan Turner,Chevrolet,Corvette,1988,201221.0,8994,1G1YY3189J5122676,0,2600.0
22,Allan Turner,Pontiac,G6,2007,140827.0,8995,1G2ZH351574148266,4642,
23,Allan Turner,Hyundai,Elantra,2011,88783.0,9033,5NPDH4AE0BH006334,5892,
24,Allan Turner,BMW,5 Series,2011,127428.0,9999,WBAFR1C57BC736834,5768,
25,Allan Turner,Hyundai,Sonata,2013,112348.0,10430,5NPEB4AC2DH804437,6414,9078.57142857143
26,Allan Turner,Nissan,Altima,2013,118933.0,10692,1N4AL3AP9DN478151,6412,8240.625
