,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
0,Allan Turner,Chrysler,Town & Country,2003,138642,2595,2C4GP44383R353876
1,Allan Turner,Chrysler,Sebring,2006,172466,3713,1C3EL55R26N259073
2,Allan Turner,Toyota,Corolla,2005,285860,3976,1NXBR32E25Z342974
3,Allan Turner,Cadillac,Escalade,2003,267936,3994,1GYEC63T03R281099
4,Allan Turner,Ford,Focus,2008,162303,4487,1FAHP35N68W218284
5,Allan Turner,Lincoln,Town Car,1995,106592,4995,1LNLM81W9SY606125
6,Allan Turner,Nissan,Altima,2011,185842,4995,1N4AL2AP3BN483918
7,Allan Turner,Honda,Accord,2009,238587,4998,1HGCP26809A092253
8,Allan Turner,Nissan,Altima,2012,143472,4999,1N4AL2AP8CN478084
9,Allan Turner,Ford,Mustang,2005,249873,5705,1ZVFT80N055125325
10,Allan Turner,Dodge,Nitro,2008,181658,6142,1D8GU58K48W237851
11,Allan Turner,Dodge,Grand Caravan,2010,118006,6995,2D4RN3D10AR455342
12,Allan Turner,Nissan,Rogue,2012,178327,7334,JN8AS5MT7CW263933
13,Allan Turner,Dodge,Ram 1500,2007,212602,7557,1D7HA18K37J594654
14,Allan Turner,Hyundai,Elantra,2012,139291,8171,KMHDH4AE0CU185848
15,Allan Turner,Kia,Optima,2011,139211,8254,KNAGM4A70B5087097
16,Allan Turner,Nissan,Maxima,2011,169535,8269,1N4AA5AP6BC809052
17,Allan Turner,Dodge,Dart,2016,143156,8671,1C3CDFBAXGD652545
18,Allan Turner,Ford,F-150,2006,239963,8673,1FTPW12VX6KD77279
19,Allan Turner,Nissan,Rogue,2010,89403,8764,JN8AS5MT5AW503154
20,Allan Turner,Harley-Davidson,,2007,20895,8959,1HD1FMM157Y618759
21,Allan Turner,Chevrolet,Corvette,1988,201221,8994,1G1YY3189J5122676
22,Allan Turner,Pontiac,G6,2007,140827,8995,1G2ZH351574148266
23,Allan Turner,Hyundai,Elantra,2011,88783,9033,5NPDH4AE0BH006334
24,Allan Turner,BMW,5 Series,2011,127428,9999,WBAFR1C57BC736834
25,Allan Turner,Hyundai,Sonata,2013,112348,10430,5NPEB4AC2DH804437
26,Allan Turner,Nissan,Altima,2013,118933,10692,1N4AL3AP9DN478151
27,Allan Turner,Kia,Sportage,2014,206012,11189,KNDPCCA6XE7661799
28,Allan Turner,Buick,LaCrosse,2012,91294,11515,1G4GC5ER7CF350877
29,Allan Turner,Cadillac,SRX,2011,121579,11522,3GYFNAEY5BS631798
30,Allan Turner,Toyota,RAV4,2012,193009,11845,2T3DK4DV1CW078957
31,Allan Turner,Hyundai,Elantra,2017,120874,11860,5NPD84LF9HH018013
32,Allan Turner,Ram,1500,2015,154772,12500,1C6RR6GT3FS721904
33,Allan Turner,Ford,Explorer,2011,160250,12838,1FMHK8F84BGA17091
34,Allan Turner,Chevrolet,Tahoe,2010,195585,12871,1GNUKBE01AR109085
