,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
0,All star,DODGE,RAM 2500 REGULAR CAB,2008,182009.0,9500.0,3D7KR26A08G172018
1,All star,DODGE,RAM 1500 QUAD CAB,2008,157672.0,8995.0,1D7HU18N28S535608
2,All star,NISSAN,ARMADA,2005,85560.0,7500.0,5N1AA08A65N705244
3,All star,HONDA,CIVIC,2010,131558.0,5900.0,19XFA1F38AE079473
4,All star,NISSAN,ALTIMA,2012,151939.0,5900.0,1N4AL2AP8CN547758
5,All star,MAZDA,TRIBUTE,2008,125625.0,4900.0,4F2CZ02Z08KM16094
6,All star,NISSAN,ALTIMA,2007,131761.0,4900.0,1N4AL21E87N493060
7,All star,GMC,ENVOY,2003,87875.0,4800.0,1GKDS13S932112372
8,All star,SUZUKI,SX4,2009,99188.0,4750.0,JS2YB417996201184
9,All star,CHEVROLET,COBALT,2009,113051.0,4500.0,1G1AT58HX97131467
10,All star,NISSAN,ALTIMA,2008,155442.0,4500.0,1N4AL21EX8N411380
11,All star,JEEP,LIBERTY,2004,131107.0,3995.0,1J4GK48K34W271315
12,All star,CHEVROLET,TRAILBLAZER,2006,151543.0,3950.0,1GNES16S866102643
13,All star,HYUNDAI,SANTA FE,2009,180753.0,3900.0,5NMSG13D09H270142
14,All star,FORD,FUSION,2007,169605.0,3900.0,3FAHP07Z07R184732
15,All star,FORD,MUSTANG,2000,148356.0,3750.0,1FAFP4043YF159688
16,All star,FORD,TAURUS,2008,170521.0,3750.0,1FAHP25W58G103060
17,All star,DODGE,STEALTH,1992,173422.0,3500.0,JB3XD44S6NY048313
18,All star,HONDA,CR-V,2003,154588.0,3350.0,JHLRD68473C017115
19,All star,CHEVROLET,COBALT,2007,110778.0,2850.0,1G1AK15FX77336038
20,All star,FORD,F150 REGULAR CAB,2002,236547.0,2500.0,2FTRF07272CA17922
21,All star,FORD,FREESTAR PASSENGER,2004,130577.0,2500.0,2FMZA51664BA43620
22,All star,CHEVROLET,BLAZER,2000,99416.0,1995.0,1GNCS13W8Y2359570
23,All star,VOLKSWAGEN,JETTA,2007,188988.0,1900.0,3VWEF71KX7M071420
24,All star,FORD,F150 SUPERCREW CAB,2005,1.0,900.0,1FTPW12575KE99046
25,All star,HONDA,ODYSSEY,2006,167046.0,595.0,5FNRL38766B009894
26,All star,CHRYSLER,300,2008,1.0,500.0,2C3KA43RX8H211242
27,All star,NISSAN,PATHFINDER,2007,146847.0,0.0,5N1AR18U87C634765
28,All star,CHEVROLET,SONIC,2015,111582.0,0.0,1G1JC5SHXF4110429
