,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
0,Car Deals,Infiniti,Q50,2020,9485,24900,JN1EV7AP7LM201065
1,Car Deals,RAM,1500,2014,88025,22500,1C6RR7KT1ES362287
2,Car Deals,Jeep,Wrangler,2013,95500,19500,1C4AJWAG6DL542210
3,Car Deals,Toyota,Sienna,2017,49426,18900,5TDXZ3DC2HS891914
4,Car Deals,Subaru,Impreza,2015,42000,15590,JF1GPAT67F8318875
5,Car Deals,Subaru,Forester,2016,77611,14490,JF2SJADC8GH405357
6,Car Deals,Mazda,MAZDA6,2015,37049,12900,JM1GJ1T52F1187852
7,Car Deals,Jeep,Grand,2011,114460,11490,1J4RR5GG6BC503833
8,Car Deals,Kia,Sorento,2013,111106,10900,5XYKTDA28DG327625
9,Car Deals,Hyundai,Santa,2013,95813,10590,5XYZU3LB5DG099148
10,Car Deals,Hyundai,Sonata,2016,120759,10290,5NPE24AF2GH355372
11,Car Deals,Hyundai,Sonata,2016,81054,9790,5NPE24AF7GH359563
12,Car Deals,Hyundai,Sonata,2016,84320,9590,5NPE24AF8GH297266
13,Car Deals,Honda,Civic,2014,99294,9490,2HGFB2F59EH528241
14,Car Deals,Hyundai,Sonata,2016,98099,9390,5NPE24AF7GH379733
15,Car Deals,Mitsubishi,Mirage,2019,10853,8990,ML32F3FJ5KHF06796
16,Car Deals,Ford,Focus,2014,51680,8950,1FADP3K23EL463551
17,Car Deals,Nissan,Versa,2017,57097,8590,3N1CN7AP5HL847536
18,Car Deals,Hyundai,Sonata,2013,95470,8590,5NPEB4AC0DH657714
19,Car Deals,Nissan,Sentra,2015,71106,8290,3N1AB7AP3FY264883
20,Car Deals,Nissan,Versa,2016,30234,8290,3N1CE2CP1GL366567
21,Car Deals,Nissan,Altima,2014,89832,8290,1N4AL3AP0EC415422
22,Car Deals,Nissan,Versa,2017,36211,8290,3N1CN7AP5HL894856
23,Car Deals,Nissan,Sentra,2015,64613,8290,3N1AB7AP5FY297674
24,Car Deals,Hyundai,Elantra,2012,82900,7900,KMHDH4AE4CU448651
