,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
0,Downtown Motors,BMW,X5,2011,141694,8995.00,5UXZV4C5XBL405869
1,Downtown Motors,Buick,Enclave,2015,102254,16995.00,5GAKRBKD5FJ250994
2,Downtown Motors,Chevrolet,Cruze,2013,96733,5995.00,1G1PE5SB2D7100957
3,Downtown Motors,Chevrolet,Equinox,2012,179840,6995.00,2GNFLGE54C6168984
4,Downtown Motors,Chevrolet,Malibu,2013,153687,5995.00,1G11C5SA8DF229326
5,Downtown Motors,Chevrolet,Silverado 1500,2011,150152,15550.00,3GCPKSE33BG347294
6,Downtown Motors,Chevrolet,Silverado 2500,2016,157623,34995.00,1GC1KVE87GF277049
7,Downtown Motors,Chevrolet,Sonic,2012,158783,3750.00,1G1JB5SH0C4173487
8,Downtown Motors,Chevrolet,Traverse,2015,93117,10995.00,1GNKRFED5FJ204297
9,Downtown Motors,Chevrolet,Trax,2016,99553,8995.00,KL7CJKSB3GB579274
10,Downtown Motors,Chrysler,Crossfire,2004,139313,3995.00,1C3AN69L44X000672
11,Downtown Motors,Dodge,Caravan,2002,132432,1995.00,1B4GP25342B733021
12,Downtown Motors,Dodge,RAM 1500,2007,74565,9995.00,1D7HU18287J565237
13,Downtown Motors,Ford,C-MAX,2013,76240,7995.00,1FADP5BU4DL533490
14,Downtown Motors,Ford,Expedition,2005,145607,2995.00,1FMFU18555LA60930
15,Downtown Motors,Ford,F150,2010,192221,10995.00,1FTFX1EV2AFC34479
16,Downtown Motors,Ford,Fusion,2018,48410,12550.00,3FA6P0LU9JR103350
17,Downtown Motors,GMC,Acadia,2008,170982,5995.00,1GKER23798J298137
18,Downtown Motors,GMC,C/K2500 Classic,2000,395570,1995.00,1GTGC24R0YR210003
19,Downtown Motors,GMC,Sierra 1500,2015,163839,24995.00,3GTU2VEC5FG497210
20,Downtown Motors,Honda,Accord,2009,127825,6995.00,1HGCP36809A018109
21,Downtown Motors,Honda,Civic,2010,151353,5995.00,2HGFA1F63AH507093
22,Downtown Motors,Hyundai,Santa FE Sport,2014,79259,12995.00,5XYZU3LA4EG216646
23,Downtown Motors,Hyundai,Sonata,2012,146878,5495.00,5NPEB4AC5CH467177
24,Downtown Motors,Jeep,Patriot,2016,97494,9750.00,1C4NJRFB1GD668358
25,Downtown Motors,Kia,Forte,2016,60950,8750.00,KNAFK5A88G5599360
26,Downtown Motors,Kia,Sorento,2013,108872,8995.00,5XYKU3A64DG323260
27,Downtown Motors,Mitsubishi,Raider JK,2006,164732,4995.00,1Z7HC32K96S513808
28,Downtown Motors,Nissan,Frontier,2012,205189,11750.00,1N6AD0ER4CC405665
29,Downtown Motors,Nissan,Maxima,2017,79613,16995.00,1N4AA6AP8HC381502
30,Downtown Motors,Ram,1500,2012,125991,17000.00,1C6RD6LT8CS118043
31,Downtown Motors,Toyota,Prius,2015,90336,10750.00,JTDKN3DU2F1962005
32,Downtown Motors,Toyota,Sienna,2012,167728,10995.00,5TDYK3DC3CS240793
33,Downtown Motors,Toyota,Sienna,2012,184908,8995.00,5TDXK3DC2CS236097
