,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
0,Hill Kelly Dodge,Ford,Fusion,2014,137868,10775,3FA6P0H7XER338591
1,Hill Kelly Dodge,Chrysler,200,2014,72514,11950,1C3CCBCG3EN152930
2,Hill Kelly Dodge,Dodge,Journey,2015,97005,12325,3C4PDCAB6FT506125
3,Hill Kelly Dodge,Jeep,Compass,2014,95876,14250,1C4NJDEB0ED766055
4,Hill Kelly Dodge,Ford,Mustang,2014,93529,14750,1ZVBP8AMXE5309566
5,Hill Kelly Dodge,Dodge,Challenger,2011,103678,14750,2B3CJ4DG9BH601819
6,Hill Kelly Dodge,Jeep,Compass,2015,91890,14975,1C4NJCEA7FD111099
7,Hill Kelly Dodge,Chevrolet,Camaro,2015,115350,15750,2G1FB1E39F9214683
8,Hill Kelly Dodge,Jeep,Cherokee,2014,118642,16450,1C4PJLDS4EW199826
9,Hill Kelly Dodge,Dodge,Journey,2017,63395,16950,3C4PDCAB2HT605060
10,Hill Kelly Dodge,Nissan,Rogue,2016,60048,16951,5N1AT2MT3GC873614
11,Hill Kelly Dodge,Kia,Soul,2018,69643,16975,KNDJP3A51J7555009
12,Hill Kelly Dodge,Kia,Optima,2016,68896,17488,5XXGT4L16GG034759
13,Hill Kelly Dodge,Dodge,Journey,2017,66333,17750,3C4PDCAB7HT695564
14,Hill Kelly Dodge,MINI,Cooper S,2015,73956,18725,WMWSS7C54FWS45101
15,Hill Kelly Dodge,Ford,F-150,2013,113889,18750,1FTMF1CF8DFA98588
16,Hill Kelly Dodge,Mazda,Mazda3,2018,45732,19375,3MZBN1U76JM245632
17,Hill Kelly Dodge,Audi,A4,2016,58532,19600,WAUAFAFL3GN007304
18,Hill Kelly Dodge,Nissan,Altima,2018,81496,19750,1N4AL3AP3JC170593
19,Hill Kelly Dodge,GMC,Terrain,2016,103443,19750,2GKFLPE3XG6127695
20,Hill Kelly Dodge,Kia,Rio,2020,15225,19750,3KPA24ADXLE330604
21,Hill Kelly Dodge,Jeep,Renegade,2018,30444,19980,ZACCJABH4JPH24126
22,Hill Kelly Dodge,Hyundai,Elantra,2019,25574,20475,5NPD84LF8KH409306
23,Hill Kelly Dodge,Jeep,Renegade,2018,61904,20525,ZACCJABB0JPG70819
24,Hill Kelly Dodge,Jeep,Renegade,2018,49476,20750,ZACCJABB3JPH32696
25,Hill Kelly Dodge,Jeep,Compass,2018,60899,21450,3C4NJDAB2JT234932
26,Hill Kelly Dodge,Chevrolet,Malibu,2016,41919,21500,1G1ZH5SX7GF328149
27,Hill Kelly Dodge,Jeep,Renegade,2016,75617,21950,ZACCJBCT8GPD55594
28,Hill Kelly Dodge,Toyota,Sienna,2015,112945,21990,5TDXK3DC0FS531588
29,Hill Kelly Dodge,Buick,Encore,2018,38955,22450,KL4CJASB6JB678086
30,Hill Kelly Dodge,Volkswagen,Passat,2017,7550,22450,1VWAT7A38HC008044
31,Hill Kelly Dodge,Toyota,C-HR,2019,48699,22980,NMTKHMBX1KR068258
32,Hill Kelly Dodge,Jeep,Renegade,2018,23693,23450,ZACCJABB6JPH14113
33,Hill Kelly Dodge,Toyota,Corolla,2018,18889,23450,5YFBURHE1JP833444
34,Hill Kelly Dodge,Jeep,Renegade,2019,27756,23850,ZACNJABB5KPK23491
35,Hill Kelly Dodge,Nissan,Kicks,2020,6437,23950,3N1CP5CV7LL523538
