,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
0,Mc Kenzie Motors,Toyota,Venza,2015,77953,ontact Us,4T3ZA3BB9FU096901
1,Mc Kenzie Motors,Mercury,Grand Marquis,2010,102124,8490,2MEBM7FV7AX616322
2,Mc Kenzie Motors,Chevrolet,Malibu,2016,113216,13490,1G1ZE5ST6GF358894
3,Mc Kenzie Motors,Chrysler,Town & Country,2015,92360,13990,2C4RC1BG0FR538386
4,Mc Kenzie Motors,Nissan,Altima,2018,80290,19390,1N4BL3AP7JC221114
5,Mc Kenzie Motors,Honda,Accord Sedan,2015,98817,19490,1HGCR2F87FA073799
6,Mc Kenzie Motors,Buick,Encore,2018,48648,19990,KL4CJASBXJB659041
7,Mc Kenzie Motors,Chevrolet,Malibu,2017,91469,20290,1G1ZH5SX0HF158301
8,Mc Kenzie Motors,GMC,Acadia,2018,91003,20990,1GKKNKLA3JZ116384
9,Mc Kenzie Motors,Buick,Encore,2019,30795,20990,KL4CJASB1KB711139
10,Mc Kenzie Motors,Chevrolet,Colorado,2016,46254,21490,1GCHSBEA1G1287878
11,Mc Kenzie Motors,Buick,Encore,2017,31658,21990,KL4CJBSB9HB075519
12,Mc Kenzie Motors,Buick,Encore,2019,28730,22490,KL4CJASB1KB707611
13,Mc Kenzie Motors,Nissan,Sentra,2019,8261,22490,3N1AB7AP3KY407731
14,Mc Kenzie Motors,Honda,Accord Hybrid,2017,71255,22490,JHMCR6F33HC017813
15,Mc Kenzie Motors,Hyundai,Tucson,2017,46064,22990,KM8J3CA26HU435876
16,Mc Kenzie Motors,Jeep,Renegade,2018,20409,23490,ZACCJABB7JPH10877
17,Mc Kenzie Motors,Ford,Escape,2018,44974,23490,1FMCU9GD0JUB27108
18,Mc Kenzie Motors,Mazda,CX-5,2018,40781,26490,JM3KFADM6J1337639
19,Mc Kenzie Motors,Ford,Mustang,2018,33540,26904,1FA6P8TH5J5100384
20,Mc Kenzie Motors,Nissan,Rogue,2019,8911,26990,5N1AT2MT1KC709528
21,Mc Kenzie Motors,Audi,A3 Sedan,2018,27599,27290,WAUB8GFF8J1017076
22,Mc Kenzie Motors,Buick,Envision,2017,31863,27590,LRBFXBSA0HD191395
23,Mc Kenzie Motors,Jeep,Wrangler Unlimited,2017,106148,28490,1C4BJWDG4HL559853
24,Mc Kenzie Motors,Ford,Explorer,2017,53907,28490,1FM5K7D8XHGA92192
25,Mc Kenzie Motors,Buick,Envision,2019,41244,28990,LRBFXCSA9KD008802
26,Mc Kenzie Motors,Chevrolet,Equinox,2019,21514,28990,3GNAXKEV3KS527999
27,Mc Kenzie Motors,GMC,Terrain,2019,26879,29107,3GKALPEX8KL148868
