,Dealer,Manufacturer,Mileage,Model,Price,VIN,Year,modelYearId,MarketValue
0,Allan Turner,TOYOTA,158037.0,Prius,5659.0,JTDKN3DU9A1275760,2010,5476,7400.0
1,Allan Turner,NISSAN,121987.0,Versa,5899.0,3N1CN7AP1CL918837,2012,6133,5185.0
2,Allan Turner,FORD,130869.0,Edge,6396.0,2FMDK38C67BB61324,2007,4541,5720.833333333332
3,Allan Turner,HYUNDAI,121552.0,Santa Fe,6519.0,5NMSG13D08H227080,2008,4930,5620.833333333332
4,Allan Turner,VOLKSWAGEN,114590.0,Jetta,7422.0,3VWBP7AJ2CM075964,2012,6105,7515.0
5,Allan Turner,TOYOTA,120532.0,RAV4,7504.0,2T3ZF4DV9BW057685,2011,6021,10929.166666666666
6,Allan Turner,HONDA,121953.0,CR-V,7833.0,JHLRE38547C000668,2007,4749,7195.833333333332
7,Allan Turner,MERCEDES-BENZ,120585.0,C-Class,7994.0,WDDGF5EB9AF489491,2010,5670,10379.166666666666
8,Allan Turner,HYUNDAI,145613.0,Genesis,8123.0,KMHGC4DE7BU133977,2011,5962,8750.0
9,Allan Turner,HYUNDAI,122795.0,Sonata,8411.0,5NPEC4ACXCH423818,2012,6215,7829.166666666668
10,Allan Turner,CHEVROLET,90092.0,Cruze,8785.0,1G1PC5SB8E7298239,2014,6676,8000.0
11,Allan Turner,HYUNDAI,124535.0,Sonata,8809.0,5NPEC4AC9CH357018,2012,6215,7829.166666666668
12,Allan Turner,HYUNDAI,87313.0,Sonata,8979.0,5NPEB4AC9CH467828,2012,6215,7829.166666666668
13,Allan Turner,DODGE,107100.0,Journey,9442.0,3C4PDCAB9DT728221,2013,6516,8878.57142857143
14,Allan Turner,HONDA,79212.0,Fit,9567.0,JHMGE8H51DC032019,2013,6485,9375.0
15,Allan Turner,NISSAN,124984.0,Altima,9782.0,1N4AL3AP7EN361038,2014,6876,9600.0
16,Allan Turner,HONDA,126910.0,Accord,10284.0,1HGCP2F66CA216788,2012,6252,9856.666666666666
17,Allan Turner,HYUNDAI,123924.0,Sonata,10375.0,5NPE24AF5GH360890,2016,7516,15242.5
