,Dealer,Manufacturer,MarketValue,Mileage,Model,Price,VIN,Year,modelYearId
0,Allan Turner,Nissan,5185.0,121987.0,Versa,4864,3N1CN7AP1CL918837,2012,6133
1,Allan Turner,Nissan,,101396.0,Versa,5537,3N1BC13E19L395113,2009,5273
2,Allan Turner,Mazda,2600.0,154695.0,Mazda3,5995,JM1BK12F771707577,2007,0
3,Allan Turner,Mazda,2600.0,127122.0,Mazda3,6869,JM1BL1U82D1709373,2013,0
4,Allan Turner,Toyota,,147160.0,Camry,6893,4T1BE46K49U384196,2009,5161
5,Allan Turner,Cadillac,,72387.0,SRX,7167,1GYEE637760192622,2006,4461
6,Allan Turner,Volkswagen,7515.0,114590.0,Jetta,7422,3VWBP7AJ2CM075964,2012,6105
7,Allan Turner,Toyota,7400.0,129704.0,Prius,7546,JTDKN3DU6A0207969,2010,5476
8,Allan Turner,Honda,7195.833333333333,121953.0,CR-V,7774,JHLRE38547C000668,2007,4749
9,Allan Turner,Scion,,105999.0,xB,8106,JTLZE4FE3B1141293,2011,5792
10,Allan Turner,Hyundai,7829.166666666667,122795.0,Sonata,8411,5NPEC4ACXCH423818,2012,6215
11,Allan Turner,Honda,9375.0,79212.0,Fit,8998,JHMGE8H51DC032019,2013,6485
12,Allan Turner,Hyundai,,74120.0,Elantra,9348,KMHDH4AE2CU448289,2012,6131
13,Allan Turner,Dodge,8878.57142857143,107100.0,Journey,9442,3C4PDCAB9DT728221,2013,6516
14,Allan Turner,Hyundai,15242.5,123924.0,Sonata,10375,5NPE24AF5GH360890,2016,7516
15,Allan Turner,Kia,11246.42857142857,94425.0,Optima,10586,5XXGN4A76EG294867,2014,6917
16,Allan Turner,Chrysler,13587.5,105466.0,200,10747,1C3CCCAB3GN125095,2016,7450
17,Allan Turner,Nissan,8240.625,91241.0,Altima,10835,1N4AL3AP9DN545962,2013,6412
18,Allan Turner,Hyundai,12853.125,107551.0,Sonata,11154,5NPE24AF5FH061589,2015,7019
19,Allan Turner,Chrysler,11725.0,71363.0,200,11910,1C3CCCBB7FN735594,2015,6965
20,Allan Turner,Lexus,12543.75,123233.0,RX,11974,2T2BK1BA7AC046863,2010,5453
21,Allan Turner,Ford,11840.625,71636.0,Edge,11992,2FMDK3GC5DBB42163,2013,6372
22,Allan Turner,Hyundai,,54424.0,Tucson,12076,KM8JU3AC5DU547505,2013,6563
23,Allan Turner,Kia,11800.0,62190.0,Soul,12295,KNDJP3A58G7295264,2016,7441
24,Allan Turner,Chevrolet,10687.5,85108.0,Equinox,12309,2GNALBEK9E6235228,2014,6778
25,Allan Turner,Hyundai,,49765.0,Elantra,12458,KMHDH4AE7GU649191,2016,7294
26,Allan Turner,Hyundai,12853.125,73443.0,Sonata,12641,5NPE34AF4FH084147,2015,7019
27,Allan Turner,Ford,,85795.0,Edge,12651,2FMDK3KC1CBA62915,2012,6204
28,Allan Turner,Volkswagen,13531.25,49878.0,Jetta,12768,3VWD67AJXGM356637,2016,7424
29,Allan Turner,INFINITI,2600.0,173635.0,QX56,12913,JN8AZ2ND6B9701078,2011,0
30,Allan Turner,Chevrolet,2600.0,1378.0,Spark,12999,KL8CD6SA5LC406314,2020,0
31,Allan Turner,Nissan,13629.166666666666,53040.0,Sentra,13160,3N1AB7AP7HY222168,2017,7898
32,Allan Turner,Ford,13267.857142857143,25135.0,Fiesta,13226,3FADP4EJ4JM140322,2018,8694
33,Allan Turner,Kia,14592.857142857143,61482.0,Soul,13308,KNDJP3A51J7513178,2018,8656
34,Allan Turner,Chevrolet,14645.833333333334,44192.0,Trax,13620,3GNCJKSBXHL246757,2017,7627
35,Allan Turner,Chrysler,,75360.0,Town & Country,13849,2C4RC1BG1FR630011,2015,7211
36,Allan Turner,Chevrolet,9100.0,38883.0,Equinox,13884,2GNALDEK1D6422327,2013,6423
37,Allan Turner,Hyundai,14831.25,52714.0,Elantra,13998,5NPD84LF0JH252028,2018,8280
38,Allan Turner,Nissan,8670.0,98749.0,Rogue,14106,KNMAT2MV4GP696764,2016,7540
39,Allan Turner,Toyota,12900.0,23306.0,Yaris iA,14229,3MYDLBYV1HY195016,2017,7656
40,Allan Turner,Mitsubishi,13300.0,50240.0,Outlander,14284,JA4AD2A33GZ064045,2016,7331
41,Allan Turner,Hyundai,,58001.0,Azera,14361,KMHFH4JG4EA372847,2014,6855
42,Allan Turner,Chevrolet,13439.285714285714,43700.0,Cruze,14512,1G1BE5SM0H7115880,2017,7612
