,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
0,Pete Moore,GMC,Yukon,2006,173271,8995,1GKEC13V26J115989
1,Pete Moore,Toyota,Highlander,2013,152857,15995,5TDBK3EHXDS208165
2,Pete Moore,Hyundai,Elantra GT,2018,18822,20995,KMHH55LC9JU011270
3,Pete Moore,Kia,Optima,2019,35249,22595,5XXGT4L32KG313622
4,Pete Moore,Subaru,Legacy,2018,30444,22995,4S3BNAS61J3028911
5,Pete Moore,Ford,Escape,2019,29420,23995,1FMCU9GD9KUA60493
6,Pete Moore,Chevrolet,Silverado 1500,2014,148287,27975,3GCUKSEC7EG354482
7,Pete Moore,Toyota,Tacoma,2018,30973,39995,3TMCZ5AN1JM124657
8,Pete Moore,Chevrolet,Camaro,2021,0,47295,1G1FH1R73M0135819
9,Pete Moore,Chevrolet,Silverado 1500,2021,0,48435,1GCUYDED6MZ398815
10,Pete Moore,Chevrolet,Silverado 2500 HD,2022,0,49190,1GC4WNE76NF134244
11,Pete Moore,Chevrolet,Silverado 1500,2021,0,49380,3GCUYDED2MG421748
12,Pete Moore,Chevrolet,Silverado 1500,2020,15220,49575,3GCUYDED7LG110315
13,Pete Moore,Chevrolet,Silverado 1500,2021,0,53335,1GCPYFED8MZ306449
14,Pete Moore,Chevrolet,Silverado 1500,2019,30995,55575,1GCUYHED0KZ200539
15,Pete Moore,Chevrolet,Silverado 3500 HD,2022,0,78490,1GC4YVEY4NF131992
16,Pete Moore,Saturn,VUE,2008,160069,5995,3GSCL33P88S690104
17,Pete Moore,GMC,Suburban,1999,257582,5995,1GKEC16R5XJ779431
18,Pete Moore,Ford,Focus,2012,158849,5995,1FAHP3F29CL470030
19,Pete Moore,Mazda,B-Series 2WD Truck,2006,145995,5995,4F4YR12D26PM00566
20,Pete Moore,Volkswagen,Jetta Sedan,2011,93022,7995,3VW2K7AJ3BM062282
21,Pete Moore,Chevrolet,Impala,2011,119049,7995,2G1WG5EK1B1306783
22,Pete Moore,Ford,F-150,2006,166759,7995,1FTRX12W36FB48384
23,Pete Moore,Toyota,Avalon,2008,176220,7995,4T1BK36B28U314164
24,Pete Moore,Ford,F-150,2006,189887,8995,1FTPW12576FB39074
25,Pete Moore,Chevrolet,Impala,2013,130723,8995,2G1WC5E35D1235420
26,Pete Moore,Toyota,Prius v,2013,157000,8995,JTDZN3EU6D3233536
27,Pete Moore,Honda,Accord Sdn,2013,96096,9995,1HGCR2F80DA015823
28,Pete Moore,Chevrolet,Silverado 1500 Classic,2007,140974,10995,1GCEC19Z57Z135503
29,Pete Moore,Chevrolet,Spark,2014,37122,10995,KL8CB6S95EC590099
30,Pete Moore,Jeep,Cherokee,2014,160879,10995,1C4PJLABXEW288286
31,Pete Moore,Hyundai,Elantra,2014,90986,10995,5NPDH4AE7EH508987
32,Pete Moore,Chevrolet,Spark,2017,36957,13995,KL8CB6SA3HC762533
33,Pete Moore,Chevrolet,Spark,2022,0,14995,KL8CC6SA9NC007265
34,Pete Moore,Hyundai,Sonata,2015,105243,14995,5NPE34AF4FH032310
35,Pete Moore,Chevrolet,Silverado 1500,2010,160558,14995,1GCSKSE33AZ168892
36,Pete Moore,Nissan,Rogue,2016,92375,14995,KNMAT2MT3GP726318
37,Pete Moore,Mitsubishi,Outlander Sport,2016,74615,14995,JA4AP3AU7GZ063115
38,Pete Moore,BMW,3 Series,2013,130693,14995,WBADW3C57DJ527104
39,Pete Moore,Kia,Soul,2018,65927,14995,KNDJN2A27J7902087
40,Pete Moore,Hyundai,Genesis,2013,105985,15995,KMHGC4DH5DU237641
41,Pete Moore,Subaru,Outback,2014,111656,15995,4S4BRBPC3E3262168
42,Pete Moore,Hyundai,Accent,2019,45737,16975,3KPC24A38KE064031
43,Pete Moore,Ford,Explorer,2013,74817,16995,1FM5K7D86DGC11267
44,Pete Moore,Audi,A6,2013,73677,16995,WAUCFAFC0DN147122
45,Pete Moore,Volkswagen,Tiguan,2016,73610,16995,WVGAV7AX9GW561651
46,Pete Moore,Mitsubishi,Outlander,2018,69152,16995,JA4AZ3A34JZ040304
47,Pete Moore,Hyundai,Elantra,2016,15605,16995,5NPDH4AE0GH687148
48,Pete Moore,Chevrolet,Traverse,2016,117508,17995,1GNKVGKD2GJ278638
49,Pete Moore,Nissan,Pathfinder,2015,139405,17995,5N1AR2MN2FC703159
50,Pete Moore,Saturn,Sky,2008,39938,17995,1G8MF35X18Y113213
51,Pete Moore,Nissan,Rogue,2016,95845,17995,5N1AT2MT3GC746264
52,Pete Moore,Buick,Encore,2014,38332,18995,KL4CJCSB9EB591347
53,Pete Moore,Nissan,Rogue,2017,80826,18995,5N1AT2MT1HC832335
54,Pete Moore,Chevrolet,Malibu,2017,45864,18995,1G1ZE5ST8HF220078
55,Pete Moore,Kia,Forte,2018,33659,18995,3KPFK4A7XJE205485
56,Pete Moore,Chevrolet,Cruze,2019,46126,18995,1G1BC5SM3K7131276
57,Pete Moore,Hyundai,Sonata,2017,81012,18995,5NPE34AF0HH555777
58,Pete Moore,,,2006,111067,19995,1GBE4V1286F420154
59,Pete Moore,Chevrolet,Traverse,2017,111334,19995,1GNKRGKD0HJ201949
60,Pete Moore,Mitsubishi,Mirage G4,2021,9992,19995,ML32FUFJ5MHF03325
61,Pete Moore,Honda,Accord Sedan,2015,45119,19995,1HGCR2F80FA191144
62,Pete Moore,Jeep,Cherokee,2016,70167,19995,1C4PJLDSXGW346976
63,Pete Moore,Nissan,Pathfinder,2016,79101,19995,5N1AR2MN1GC666106
64,Pete Moore,Cadillac,CTS Sedan,2014,98033,19995,1G6AR5S39E0129539
65,Pete Moore,Hyundai,Elantra,2018,36620,20995,5NPD84LF8JH278067
