,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
0,Sandy Sansing,Lexus,GS 300 Luxury Perform Sdn,1998,156552,3855,JT8BD68S5W0029183
1,Sandy Sansing,Nissan,Sentra,2007,224366,4500,3N1AB61E07L601114
2,Sandy Sansing,Chevrolet,Suburban,2001,219799,4900,3GNFK16T91G196262
3,Sandy Sansing,Volkswagen,Jetta Sedan,2008,201861,5000,3VWJM71K98M074105
4,Sandy Sansing,Chevrolet,Impala,2009,235394,5404,2G1WT57K691220047
5,Sandy Sansing,FIAT,500,2013,103801,5550,3C3CFFAR9DT546417
6,Sandy Sansing,Chevrolet,C/K 1500,1994,227752,5900,1GCDC14KXRZ236495
7,Sandy Sansing,Honda,Accord Sdn,2010,188980,5991,1HGCP2F35AA133758
8,Sandy Sansing,Chrysler,Town & Country,2010,169686,5991,2A4RR5D13AR369580
9,Sandy Sansing,Kia,Soul,2013,130611,6038,KNDJT2A53D7491601
10,Sandy Sansing,Toyota,Camry Solara,2006,151000,6634,4T1CE38P96U651285
11,Sandy Sansing,Toyota,Corolla,2010,112649,6688,2T1BU4EE9AC361923
12,Sandy Sansing,Kia,Optima,2011,179076,6987,KNAGM4A75B5066486
13,Sandy Sansing,Hyundai,Sonata,2012,174204,6998,5NPEC4AC5CH428554
14,Sandy Sansing,Nissan,Rogue,2011,150489,7245,JN8AS5MTXBW161556
15,Sandy Sansing,smart,fortwo,2015,69188,7500,WMEEJ3BA5FK813083
16,Sandy Sansing,Toyota,Highlander Hybrid,2006,149155,7600,JTEDW21A960006824
17,Sandy Sansing,Chevrolet,Captiva Sport Fleet,2012,102445,7808,3GNAL3E5XCS545869
18,Sandy Sansing,Chevrolet,Cruze,2013,0,7895,1G1PE5SB2D7141069
19,Sandy Sansing,BMW,5 Series,2010,137452,7990,WBANU5C51AC441597
20,Sandy Sansing,Honda,Civic Sdn,2007,122511,7995,1HGFA16857L074034
21,Sandy Sansing,Chevrolet,Traverse,2011,155280,8627,1GNKRGED6BJ320088
22,Sandy Sansing,Toyota,Yaris,2014,68770,8725,JTDKTUD36ED574565
23,Sandy Sansing,Nissan,Frontier,2008,197396,8900,1N6AD07U28C407620
24,Sandy Sansing,Nissan,Pathfinder,2015,154154,8991,5N1AR2MN5FC667791
25,Sandy Sansing,Chevrolet,Cruze,2014,0,8995,1G1PC5SB3E7141377
26,Sandy Sansing,Nissan,Sentra,2013,81283,8995,3N1AB7AP2DL789833
27,Sandy Sansing,Nissan,Murano,2010,165914,9000,JN8AZ1MU6AW001749
28,Sandy Sansing,Chevrolet,Cruze,2012,58190,9550,1G1PJ5SC1C7392586
29,Sandy Sansing,Chevrolet,Impala,2006,244722,9598,2G1WT58K469337704
30,Sandy Sansing,Nissan,Sentra,2016,133900,9667,3N1AB7AP3GY297173
31,Sandy Sansing,Chevrolet,Silverado 1500,2008,203475,9688,1GCEK19J68Z254840
32,Sandy Sansing,Ford,F-150,2012,303287,9689,1FTFX1CFXCKD28871
33,Sandy Sansing,Hyundai,Elantra,2013,105638,9725,5NPDH4AE5DH347246
34,Sandy Sansing,Toyota,Highlander,2012,204434,9734,5TDZK3EH3CS060454
35,Sandy Sansing,Ford,Edge,2013,121829,9888,2FMDK3J96DBA72606
36,Sandy Sansing,Hyundai,Veracruz,2008,107650,9900,KM8NU13C68U037690
37,Sandy Sansing,Kia,Soul,2014,101856,9975,KNDJN2A23E7024311
38,Sandy Sansing,Ford,Econoline Commercial Cutaway,2003,19169,9985,1FDWE35LX3HB58346
39,Sandy Sansing,Ford,F-150,2010,232192,9991,1FTFW1CV6AFC34213
40,Sandy Sansing,Honda,Civic Sdn,2012,114166,9998,2HGFB2F86CH308790
41,Sandy Sansing,GMC,Sierra 1500 Classic,2007,219488,9999,2GTEC13V071178791
42,Sandy Sansing,Toyota,4Runner,2007,177028,10640,JTEZU14R278082153
43,Sandy Sansing,Kia,Soul,2015,49150,10900,KNDJN2A24F7116030
44,Sandy Sansing,Toyota,Camry,2013,111476,10906,4T1BF1FK6DU705983
45,Sandy Sansing,Hyundai,Genesis,2013,92478,10989,KMHGC4DD5DU229861
46,Sandy Sansing,Chevrolet,Suburban,2007,184155,10991,3GNFC16Y27G268548
47,Sandy Sansing,Chevrolet,Impala Limited,2014,51049,10991,2G1WB5E38E1104938
48,Sandy Sansing,Nissan,Sentra,2016,88539,10991,3N1AB7AP5GL670517
49,Sandy Sansing,BMW,X5,2013,163565,10998,5UXZV4C54D0E01632
50,Sandy Sansing,Honda,Accord Sedan,2014,193083,11157,1HGCR2F57EA138302
51,Sandy Sansing,Chevrolet,Cruze,2017,60276,11159,3G1BC5SM4HS573154
52,Sandy Sansing,Chevrolet,Suburban,2012,218069,11250,1GNSKJE79CR189690
53,Sandy Sansing,Toyota,Prius,2014,82812,11295,JTDKN3DU7E0371169
54,Sandy Sansing,Chevrolet,Spark,2017,28671,11412,KL8CB6SAXHC769611
55,Sandy Sansing,Chevrolet,Malibu,2014,123862,11464,1G11H5SL9EF129725
56,Sandy Sansing,Chevrolet,Malibu,2015,89969,11576,1G11C5SL1FF241032
57,Sandy Sansing,Chrysler,Town & Country,2014,104145,11595,2C4RC1HG8ER177978
58,Sandy Sansing,Ford,Expedition,2011,125944,11725,1FMJU1H56BEF00678
59,Sandy Sansing,Chevrolet,Cruze,2017,19204,11794,1G1BC5SM4H7175702
60,Sandy Sansing,Hyundai,Santa Fe,2013,96972,11991,5XYZU3LB0DG061522
61,Sandy Sansing,Mazda,Mazda3,2014,106501,12000,JM1BM1W77E1124050
62,Sandy Sansing,Jeep,Cherokee,2014,127239,12500,1C4PJLDS3EW221220
63,Sandy Sansing,Chevrolet,Cruze,2016,60148,12500,1G1BC5SM2G7305118
64,Sandy Sansing,Nissan,Versa Sedan,2018,46416,12500,3N1CN7AP9JK410912
65,Sandy Sansing,Ram,1500,2011,175350,12725,1D7RV1GT9BS551412
66,Sandy Sansing,Toyota,Camry,2014,70531,12731,4T1BF1FK9EU438579
67,Sandy Sansing,Hyundai,Sonata,2016,71013,12757,5NPE24AA8GH344803
68,Sandy Sansing,Mazda,Mazda3,2012,103627,12988,JM1BL1L32C1528794
69,Sandy Sansing,Chevrolet,Cruze Limited,2016,66488,12995,1G1PG5SB1G7160064
70,Sandy Sansing,GMC,Sierra 1500,2007,243303,12995,3GTEK13M17G504423
71,Sandy Sansing,Chrysler,200,2015,38915,12995,1C3CCCAB1FN626226
72,Sandy Sansing,Toyota,Sienna,2015,146710,13391,5TDKK3DC4FS638962
73,Sandy Sansing,Honda,Accord Sdn,2012,77805,13488,1HGCP2F86CA112223
74,Sandy Sansing,Kia,Soul,2016,34884,13500,KNDJN2A2XG7255404
75,Sandy Sansing,Chevrolet,Sonic,2018,32229,13500,1G1JD5SH9J4115501
76,Sandy Sansing,Ford,Fiesta,2019,28167,13500,3FADP4BJ5KM151173
77,Sandy Sansing,Buick,Encore,2014,44018,13580,KL4CJBSB9EB611378
78,Sandy Sansing,Chrysler,200,2016,122436,13690,1C3CCCAB3GN113299
79,Sandy Sansing,Nissan,Versa Sedan,2019,13933,13800,3N1CN7AP1KL827890
80,Sandy Sansing,Honda,CR-V,2013,100734,13850,5J6RM3H77DL046258
81,Sandy Sansing,Ford,Fusion,2017,95660,13900,3FA6P0LU4HR223261
82,Sandy Sansing,Buick,Encore,2015,86747,13902,KL4CJCSB5FB122175
83,Sandy Sansing,Toyota,Sienna,2014,137480,13989,5TDKK3DC8ES427889
84,Sandy Sansing,Dodge,Ram 2500,2005,139577,13991,3D7KR28C95G778279
85,Sandy Sansing,Hyundai,Veloster,2015,38350,14000,KMHTC6AD6FU237873
86,Sandy Sansing,BMW,i3,2015,67573,14000,WBY1Z4C5XFV502968
87,Sandy Sansing,Toyota,Yaris iA,2017,28361,14023,3MYDLBYV1HY184999
88,Sandy Sansing,Chevrolet,Trax,2015,49752,14381,3GNCJLSB7FL244113
89,Sandy Sansing,Toyota,Corolla,2017,82185,14455,2T1BURHE0HC888123
90,Sandy Sansing,Nissan,Versa Note,2019,38388,14500,3N1CE2CP6KL359591
91,Sandy Sansing,Mazda,Mazda3 4-Door,2017,96798,14500,3MZBN1V74HM106592
92,Sandy Sansing,Ford,Focus,2018,52435,14546,1FADP3H20JL212004
93,Sandy Sansing,Mercedes-Benz,SLK,2008,50386,14553,WDBWK56F88F182566
94,Sandy Sansing,Chevrolet,Malibu,2017,65312,14564,1G1ZB5ST3HF245785
95,Sandy Sansing,Mazda,CX-5,2015,94199,14657,JM3KE4CY4F0547016
96,Sandy Sansing,Nissan,Altima,2017,83280,14682,1N4AL3APXHC201753
97,Sandy Sansing,Toyota,Corolla,2017,72775,14700,5YFBURHE5HP658237
98,Sandy Sansing,Chevrolet,Cruze,2017,65539,14702,1G1BE5SMXH7162978
99,Sandy Sansing,Kia,Forte,2017,35732,14721,3KPFL4A79HE009478
100,Sandy Sansing,Mazda,Mazda6,2015,81697,14751,JM1GJ1W59F1200639
101,Sandy Sansing,Ford,Focus,2018,16414,14802,1FADP3K25JL319087
102,Sandy Sansing,Nissan,Sentra,2018,65668,14875,3N1AB7AP6JY218537
103,Sandy Sansing,Ford,Focus,2017,46368,14887,1FADP3K24HL282351
104,Sandy Sansing,Jeep,Patriot,2015,68678,14900,1C4NJPFB5FD118180
105,Sandy Sansing,Hyundai,Accent,2019,30818,14948,3KPC24A34KE042799
106,Sandy Sansing,Subaru,Impreza Sedan WRX,2011,97961,14991,JF1GV8J69BL522926
107,Sandy Sansing,Hyundai,Elantra,2017,31566,15000,5NPD84LF8HH008671
108,Sandy Sansing,Chevrolet,Cruze,2017,30579,15000,3G1BE6SM9HS515301
109,Sandy Sansing,Volkswagen,Tiguan,2015,47802,15250,WVGAV7AX5FW612321
110,Sandy Sansing,Nissan,Altima,2015,48134,15448,1N4AL3AP2FC285080
111,Sandy Sansing,Volkswagen,Passat,2016,35843,15488,1VWAT7A35GC020330
112,Sandy Sansing,Chevrolet,Malibu,2017,42349,15500,1G1ZB5ST8HF191738
113,Sandy Sansing,Hyundai,Accent,2020,7969,15746,3KPC24A60LE117056
114,Sandy Sansing,Buick,Enclave,2014,83546,15788,5GAKRBKDXEJ369588
115,Sandy Sansing,Nissan,Sentra,2019,43828,15889,3N1AB7AP7KY286928
116,Sandy Sansing,Hyundai,Sonata,2019,20271,15898,5NPE24AF5KH734245
117,Sandy Sansing,Honda,Civic Coupe,2015,48317,15900,2HGFG3B82FH528381
118,Sandy Sansing,Mitsubishi,Outlander Sport,2017,27615,15900,JA4AP3AU9HZ040968
119,Sandy Sansing,Toyota,Camry,2012,78355,15900,4T1BK1FK2CU518086
120,Sandy Sansing,Ford,Escape,2017,68582,15914,1FMCU9GD4HUA69126
121,Sandy Sansing,Hyundai,Elantra,2017,33476,15990,KMHD74LF4HU417741
122,Sandy Sansing,Hyundai,Elantra,2019,22349,15991,5NPD84LF9KH484676
123,Sandy Sansing,Chevrolet,Cruze,2017,10067,15991,3G1BE6SMXHS535539
124,Sandy Sansing,Nissan,Sentra,2019,30548,15991,3N1AB7AP3KY366873
125,Sandy Sansing,Ford,Explorer,2013,118008,15995,1FM5K7D85DGB04114
126,Sandy Sansing,Mazda,CX-5,2016,77447,16000,JM3KE2CY8G0626419
127,Sandy Sansing,Ford,Edge,2016,90827,16000,2FMPK3J92GBC40419
128,Sandy Sansing,Nissan,Sentra,2018,15179,16000,3N1AB7AP1JY312650
129,Sandy Sansing,Cadillac,SRX,2013,84512,16000,3GYFNCE34DS567644
130,Sandy Sansing,Jeep,Grand Cherokee,2012,82480,16000,1C4RJFAG2CC331961
131,Sandy Sansing,Nissan,Altima,2018,52411,16173,1N4AL3AP1JC475669
132,Sandy Sansing,Ford,Fusion,2017,34303,16420,3FA6P0H77HR284655
133,Sandy Sansing,Buick,Encore,2017,32875,16491,KL4CJASB5HB030359
134,Sandy Sansing,Ford,Focus,2017,21190,16491,1FADP3N22HL210379
135,Sandy Sansing,Nissan,Altima,2019,43905,16499,1N4BL4BV3KC214259
136,Sandy Sansing,Ford,F-150,2013,139485,16500,1FTFW1CT3DKF61212
137,Sandy Sansing,Chevrolet,Cruze,2018,37452,16500,3G1BE6SM8JS646483
138,Sandy Sansing,Hyundai,Elantra,2019,23995,16500,5NPD84LF5KH482312
139,Sandy Sansing,Nissan,Sentra,2019,34613,16695,3N1AB7AP8KL624835
140,Sandy Sansing,Kia,Soul,2017,24382,16715,KNDJP3A59H7880372
141,Sandy Sansing,Buick,Encore,2018,8008,16717,KL4CJASB8JB601607
142,Sandy Sansing,Ford,Mustang,2015,104403,16725,1FATP8EM0F5351933
143,Sandy Sansing,Hyundai,Elantra,2017,17418,16736,KMHD84LF2HU192832
144,Sandy Sansing,Hyundai,Santa Fe Sport,2016,55895,16800,5XYZT3LB5GG369714
145,Sandy Sansing,Mitsubishi,Outlander Sport,2019,35838,16837,JA4AP4AU3KU013579
146,Sandy Sansing,Buick,Encore,2017,14575,16876,KL4CJ1SB3HB089703
147,Sandy Sansing,Hyundai,Elantra,2017,16295,16900,KMHD84LF8HU401555
148,Sandy Sansing,Hyundai,Elantra,2020,7735,16900,5NPD84LF6LH559268
149,Sandy Sansing,Nissan,Altima,2017,58978,16955,1N4AL3AP3HC271076
150,Sandy Sansing,Kia,Optima,2017,19298,16971,5XXGT4L31HG146288
